Customer,ReviewID,ProductID,Title,Description,Label,Aspect
1,2,1143,Landmark Purchase!,"The LS50s are simply some of the finest bookshelf/stand-mount speakers I have ever heard. I've heard comparative offerings from most of the major players (and some of the smaller ones) and while many models have their redeeming qualities, these babies just flat out sing like nothing else.

It's remarkable - when dialed in right, and fed/driven by qualified gear, they actually disappear from the room and the only thing left is just you and the music. It seems like such a simple thing, but until you actually experience it, descriptions pale in comparison.

In a nutshell, when these things are at their best they perform on such a high level it's ridiculous. 

Two things to note, for potential buyers:

1) 8 ohms seems a bit optimistic. Measured performance, averaged out, is probably more like 6 ohms (and as low as 4 - per Stereophile). Just be sure your amplifier is up to the task. My Parasound A21 has no trouble at all but does run a bit warmer than with some B & W's.

2) They are indeed a little less sensitive than some others, but don't let that dissuade you. Just be mindful of it.

3) The bass these produce is incredible. It's more than enough for my oddly shaped 9x20x10 room (and my neighbors). If you have a large room and/or just like a lot of presence with the lowest octave then you'll want a sub.


The better the gear you can throw at these the better they will perform. I am currently in awe of how awesome they are and how luck I am to own them.


If you're reading these reviews, just do yourself a solid and pick up a pair. Try to buy from your local dealer if at all possible. Often they'll work with you, and supporting your community is more important now than ever!

The LS50s will add joy to your life. And in the end, joy is what this is all about.


-et_uptown
Chicago, IL",P,quality
2,3,1143,Works fine with low-powered tubes!,"A local dealer made me an offer I couldn't refuse, so I bought these speakers without having an opportunity to audition them. I was a bit uncertain because the specs indicate that the LS50s require some power, and my (restored) Fisher 400 tube receiver is rated at about 28 wpc. 
I had nothing to worry about; the Fisher has plenty of juice to get the LS50s singing in my little 9 x 12 listening room. Compared to my previous speakers (rated at 90dB efficiency vs. the KEF's 86dB efficiency), I only have to notch up the volume knob slightly higher to achieve the same level.
My conclusion is the quality of the power source is more important to the LS50s than the amp's nominal rating; the transformers on the Fisher 400 are pretty beefy.",P,quality
3,4,1143,Excellent workmanship and service,"I've had KEF (3005s) as my original HT system for several years in my den and am very happy with them; but I always wanted a set of stereo speakers for my living room for those cozy fireplace moments. I tested number of speakers including dynaudio, B&W, MAs and several others. The LS50 blew them all away in terms of sound stage and clarity. Currently powering them with an emotiva xpa-200 amp and their new dc-1 DAC. I listen to mostly digital music and these sound awesome in this combination! Thanks for making my holiday season even greater.",P,quality
4,6,1143,Highly Recommended,"I listened to some KEF floorstanding reference speakers about 10 years at a speaker boutique and got hooked on high end audio. Unfortunately, I've always been buying speakers on the affordable end of the audiophile spectrum and constantly bitten by the upgrade bug as a result. These speakers are about twice as expensive as any that I have previously owned but they deliver far above their price range.Perhaps my favorite feature is their ability to play perfectly (to my ears) when off axis. I don't have a dedicated listening room, so it has been common for the best listening position to be some spot standing in the middle of the room. Now, I can fully enjoy my music from anywhere in the room. Upgrade bug officially squashed.

FYI - I mostly listen to classic and indie rock. Power with an Exposure amp and a Centrance DAC with all-digital sources.",P,"quality, price"
5,7,1143,Giant Killers - Can't Be Beaten for Less than 5-10x The Price,"I was stunned that all the reviews were right about these fantastic speakers - they truly are Giant Killers, especially for their price.

They're beautiful and their sound qualities are just as amazing - when set up correctly. They do require special care in set up to sound up to their potential. Any critical comments you may have seen, likely result from improper set up. 

To sound their best, they must be placed out in the room, away from the walls, and with their ports fully open. In that configuration they really do disappear in a wall of lifelike sound, with a great soundstage and imaging. 

Of course their other sound qualities are superior as well - great bass, mids, highs, tone, tenure, texture, timbre - very real, lifelike sound, without any boxy constraints. 

They really do have bass, despite their specs - though, if you're a HT, or car audio buff, who loves inaccurate, boomy sound, you may be disappointed. I'm using the R400b with them, but they really don't need it, except for the very lowest notes.

They also require a powerful amp with high current output - 200+ w per channel into 8ohms. They're fairly inefficient. 

And... I'm using them with the DSP Anti-mode 2.0 to eliminate the ""room boom"" - especially with a sub. Makes integrating a sub a ""piece of cake."" And... provides a very good pre-amp, as well. Add a tube buffer, as I have, and the sound doesn't get much better. 

A great source, such as a great SACD player with XLR cables makes everything even better!

Do yourself a favor... and get a pair of these... unless ""you have money to burn,"" and can spend $50K on your system, which is what it will take to better them. ",P,"quality, price"
6,8,1143,It's all true~!,"Even with very little break-in, I can tell you that John Atkinson in Stereophile was absolutely correct: Class A for smaller rooms. Also, read the What HiFi review. 

These are solid as a rock, gorgeous finish, and provide the most amazing clarity I've ever heard. Wow! What a soundstage! Don't hesitate. If you love classics, Jazz, and vocal music, you will be in heaven.",P,quality
5,9,1143,These speakers are little gems!,"I have owned a number of loudspeakers over the years starting with Polk, Martin Logan, Magnepan and Gallo. While they all had their strengths, none have impressed me as much as the LS50's. From the excellent build quality to the balanced sound and deceptive small physical size, these speakers are impressive. The LS 50's disappear and present the music with accuracy-,clear highs, articulate, realistic vocals and punchy bass-the LS50's are so enjoyable to listen to. For the size and price, they are hard to beat.",P,"quality, price"
7,10,1143,"Overall, a great pair.","Overall, they are delightful to listen to. Add a sub and you might never need a big pair of speakers. 

I have them matched with the following: 

Vincent 236 Hybrid Integrated Amp 
Thorens TD-309 Turntable with Shure MX-97E Cartridge 
Pro-Ject Tube Box SE II Phono Pre-amp 
Oppo BD-95 Universal Player 
Olive Media Server 


Test Music 

Vinyl - the most crucial test 

Buckingham Nicks - ""Crying in the Night"" from German LP Pressing - Incredible album - musically and sonically - but has never been re-released and the US vinyl copies universally suck - the German pressing is quiet and Lindsey's guitars jumped out into the room with me 

Fleetwood Mac - ""Dreams"" - from recent 45 rpm double LP - This pressing beats the Japanese SACD and the US DVD-A. Its often a toss-up between these three formats (if a recording is lucky enough to get all 3) but the vinyl in this case is the winner - clean, quiet and ultra-transparent 

Olivia Newton-John - ""Country Girl"" - from Japanese Pressing of Long Live Love LP - Japanese vinyl is meticulously well crafted and regardless of what you think of this aritst,, her early country recordings (coming out of England) with Cliff Richard's old Shadows band on back-up and producing - are magnificent. Great guitars, superb sonic layers, and a clear, clean voice that some speakers can't get right - but not the KEFs! 

CD 

Eagles - ""New Kid in Town"" from the West German Target CD - very early ""flat"" transfer - sounded superb - this is the Eagles CD to own - later versions have tinkering with the sonics 

SACD 

Eric Clapton - ""Give ME Strength"" from 461 Ocean Boulevard - guitars were warm and sweet and jumped out at you 

Olive Server - I hate compression but Olive does pretty well 

Vanessa Williams - ""Midnight Blue"" from ""Everlasting Love"" - great cover of the Melissa Manchester classic - sounded much better than I expected. 

Overall, a great pair. ",P,miscellaneous
10,12,1143,Simply Amazing,"I must say that I am amazed at these little loudspeakers! My current speakers are ProAc Response 2.5 which were purchased well over 10 years ago at a cost of $5,000 – the current model is called D28 which represents a slight improvement and retails for $6,250 . The KEF LS50 simply buries them! Dynamics, imaging, clarity – it’s all there. Alright, so the ProAc’s have a stronger bass, but frankly I prefer the KEF’s lighter touch, seems more in scale and certainly adequate. I am finding myself pulling out all these old records I haven’t listened to for years and enjoying it immensively, never would have thought that a mere change in technology could rekindle musical enjoyment, but there’s no arguing with success. Makes me wonder what The Blade can do – turn heavy metal into violin sonatas?",P,miscellaneous
8,13,1156,Eloquent,"The R200c complements the R900’s in a way that only
can be described as delightful, fun, it’s a whole new ballgame.
Wow!",P,miscellaneous
9,15,1152,Just perfect,"Clean and clear crisp sound, very detailed with just the right amount of bass. Perfect for my taste.",P,quality
7,17,1151,awsome,Was a Vandy man for yrs. After much research I decided to go for the KEF 500s. Great sound look great too.,P,quality
5,18,1151,Gorgeous!,"I sold a pair of Magnepan 1.7s to get these, largely due to the Magnepan's poor performance in the wife approval department. I auditioned extensively comparably priced speakers from Paradigm, Sonus Faber, and KEF. No contest. The combination of great build quality and outstanding sound takes the KEFs to the top. I am extremely pleased, and so is my wife. Awesome product.",P,"quality, price"
11,19,1151,Beautiful,"Wonderful speakers, and they look amazing. They arrived right on schedule - and in perfect condition. I based my purchase on quite a bit of research online and I'm thrilled with the result. Here's a picture, right out of the box: http://sdrv.ms/HKg7x8",P,"delivery, miscellaneous"
